2219.5453	2219.6253	2219.5896	2219.6206
2219.6253	2219.8084	2219.6484	2219.7407
2204.7907	2204.9842	2204.8994	2204.9386
2202.2579	2202.5772	2202.2763	2202.3101
2169.7594	2170.0578	2169.8299	2169.8893
2165.4589	2165.6589	2165.4898	2165.5784
2165.6589	2165.8142	2165.7348	2165.7728
2153.782	2153.982	2153.8708	2153.9135
2153.982	2154.1948	2154.0801	2154.1382
2147.1232	2147.3232	2147.2354	2147.2762
2147.3232	2147.4633	2147.3498	2147.3897
2143.0882	2143.2482	2143.1862	2143.2504
2143.2482	2143.3282	2143.2678	2143.3019
2143.3282	2143.5725	2143.3553	2143.404
2136.9042	2137.1042	2137.0016	2137.0414
2137.1042	2137.2621	2137.1752	2137.2207
2132.3123	2132.5123	2132.4156	2132.4691
2132.5123	2132.7447	2132.586	2132.6249
