none,none,0.226560,0.576800,0.106520,0.591200,,,0.160280,none,1.128720,none,0.066720,0.107480,,,none,none,0.034480,0.032080,0.824920,0.179000,
,,0.760720,1.394760,0.518800,1.661600,,,0.679600,,0.668240,,2.804880,0.230560,,,,,1.177280,0.025320,1.270800,0.157080,
,,0.033160,,0.070120,1.774560,,,1.094440,,0.073880,,0.073600,0.026680,,,,,0.144960,0.170800,1.105400,0.483960,
none,none,0.102320,,0.052960,,,,,1.462320,0.231320,none,0.076440,0.064520,,,none,0.559640,0.108040,1.213080,0.057640,1.210960,
,,0.050520,0.021840,0.528440,,,,,,0.489600,,0.022240,1.603480,,,,0.537560,0.101640,,0.022240,1.521280,
,,0.054000,0.567000,0.981520,none,,,none,,0.169440,,0.044360,,,,,1.256200,0.127720,,0.099280,,
0.301960,none,0.073280,1.196800,0.059920,,,,,none,5.221840,none,0.014600,,,,none,,0.106560,0.383960,0.205880,,
,,,,0.061840,,,,,,,,0.139800,none,,,,,0.148880,0.043520,1.121480,none,
,,,,0.033960,none,,,none,,,,0.363040,,,,,none,0.156080,0.413080,0.037200,,
none,none,none,none,0.043080,,,,,none,0.101520,0.024720,0.063560,,,,none,,0.038920,0.045200,0.322360,,
,,,,0.025720,,,,,,3.440840,,0.060680,0.275480,,,,,0.265960,0.715800,0.398400,none,
,,,,1.319720,1.267280,,,0.870640,,,,0.097680,,,,,none,0.160200,0.035440,0.041920,,
none,none,none,none,0.013960,,,,,none,,none,0.391880,,,,0.029760,,0.045120,,0.053120,,
,,,,0.874560,,,,,,none,,0.609120,none,,,1.138440,,0.098480,,0.012160,0.754200,
,,,,0.996520,none,,,0.214360,,,,0.654320,,,,,none,0.108080,none,0.080600,,
none,none,0.056640,none,0.392240,,,,3.407640,none,,none,0.294560,,,,,,7.354480,,0.058840,,
,,,,0.287120,,,,,,7.285440,,0.024800,none,,,0.109840,,1.128880,,0.336760,none,
,,,,0.045200,none,,,,,,,0.131160,,,,0.367600,0.421760,,1.591480,1.032560,,
0.831160,none,none,none,0.022800,,,,0.017680,none,,0.635600,1.086640,,,,0.074360,,,,0.182560,,
3.583200,,,,0.060440,,,,0.548720,,none,,0.174240,0.566200,,,0.325960,,none,,0.042080,0.576120,
0.530840,,,,0.168360,none,,,0.145160,,,,0.011920,0.013320,,,1.514760,0.301760,,none,0.039640,0.070640,
2.042640,none,none,1.668040,0.026960,,,,0.010600,none,,none,0.045760,1.276600,,,2.705160,,,,0.016680,0.169640,
0.016480,,,,0.104800,,,,0.966320,,0.004600,,0.075280,0.004840,,,0.005080,,none,,0.226200,0.593200,
0.266600,,,,0.150440,none,,,0.337480,,,,0.084160,0.223600,,,0.634960,none,,none,0.170360,0.054120,
,none,none,none,0.049960,,,,2.049640,none,,none,,,,,,,,,1.015120,0.161240,
,,,,0.837400,,,,0.075520,,0.456920,,,,,,,,1.645960,,0.045800,0.017560,
2.460560,,,,0.089480,none,,,0.927160,,0.068160,,2.251200,none,,,0.353080,none,0.034560,0.217800,0.095760,0.038040,
0.148280,none,7.654120,none,0.022560,,,,0.141040,none,,0.020560,0.546760,,,,0.389000,,1.085000,0.149800,0.115400,0.017280,
2.205160,,0.001320,,0.014440,,,,,,,0.074920,0.064720,,,,0.153080,,,1.086040,,0.403280,
,,0.540920,,0.050600,none,,,,,none,0.074120,0.203280,none,,,0.631200,none,,,,,
,0.294960,,0.181600,0.027960,,,,0.554760,0.778320,,1.045440,0.322200,,,,0.191680,,none,,0.442960,,
none,1.058000,,0.028840,0.154640,,,,0.071720,,,,1.195480,,,,0.356040,,,0.112000,0.049440,none,
,,,0.144960,,,,,0.134400,,,,2.910160,0.317520,,,0.049120,none,,,0.123280,,
,,,0.018240,,,,,0.041120,1.687280,,none,,,,,0.041640,,0.024640,,0.261560,,
none,none,,0.049520,0.267360,,,,1.014680,,,,,,,,4.844240,,0.299200,none,0.209560,none,
,,,0.029400,0.027480,,,,0.009720,,,,1.071720,none,,,0.004880,1.114520,2.747240,,0.010960,,
,,,,2.281760,,,,0.013120,none,,none,0.197600,,,,0.016040,,0.620760,,0.792600,,
none,0.020360,,,0.257600,,,,0.345800,,,,0.227160,,,,0.249680,,0.112200,0.204120,0.182800,1.644320,
,3.115520,,0.418640,0.965840,,,,1.540440,,,,,,,,0.020360,2.903320,,0.013560,0.334920,0.349400,
,,,0.018640,0.796120,,,,1.009200,,,,,,,,0.173000,,,0.012040,0.018520,0.035120,
none,,,0.138160,,,,,1.653800,,,,none,,,,,,none,0.037920,0.115000,0.309320,
,,,1.497440,,,,,0.275440,,,,,,,,,,,0.016840,0.244920,0.038760,
,,,,1.595760,,,,0.688320,,,,,,,,0.065720,,,0.459960,0.055320,,
1.171920,,,,1.280920,,,,0.285680,,,,0.003880,,,,0.234760,,0.369480,,0.081280,,
0.677480,,,none,0.123360,,,,,,,,,,,,0.064920,,2.655240,,0.521800,none,
3.177600,,,,,,,,,,,,,,,,0.998360,,6.052040,none,0.092560,,
0.002480,,,,,,,,2.804880,,,,1.951400,,,,1.195240,,1.502480,,0.342520,,
,,,,0.233200,,,,0.792120,,,,0.211480,,,,0.394160,,0.773520,,0.338720,,
,,,,1.109240,,,,1.037280,,,,0.044160,,,,0.441120,,5.900200,none,1.011160,,
0.268280,,,,0.046560,,,,0.388400,,,,0.041600,,,,1.292360,,,,0.133240,,
,,,,0.121200,,,,0.552240,,,,0.082800,,,,0.089000,,,,0.274800,,
,,,,2.462360,,,,,,,,,,,,0.025840,,,,0.077320,,
,,,,0.751000,,,,,,,,,,,,0.033640,,,,0.102440,,
,,,,4.098920,,,,1.352320,,,,none,,,,0.114280,,,,,,
,,,,,,,,,,,,,,,,0.108040,,,,,,
,,,,,,,,,,,,,,,,0.403360,,,,0.339320,,
,,,,none,,,,0.899200,,,,1.786720,,,,,,,,0.100840,,
,,,,,,,,0.631760,,,,0.081760,,,,,,,,0.931320,,
,,,,,,,,0.390080,,,,,,,,0.320960,,,,0.082960,,
,,,,0.020640,,,,0.149920,,,,,,,,0.015520,,,,0.155160,,
,,,,0.057240,,,,0.744200,,,,0.002920,,,,0.052760,,,,0.030160,,
,,,,0.600440,,,,,,,,0.027360,,,,0.032280,,,,0.241240,,
,,,,0.102440,,,,,,,,0.387440,,,,0.084200,,,,0.788520,,
,,,,0.133680,,,,0.078960,,,,,,,,0.145040,,,,0.186560,,
,,,,,,,,0.880080,,,,,,,,0.809800,,,,0.075000,,
,,,,,,,,0.184240,,,,none,,,,0.625120,,,,0.066080,,
