0.003600,0.004280,none,0.003440,0.004280,none,
0.006520,0.085480,,0.004120,0.289320,,
0.366040,0.005080,,0.032160,0.042760,,
0.014960,0.439720,0.039720,0.026000,0.006600,0.002840,
0.035320,0.005200,0.072400,0.028400,0.015880,0.004000,
0.009760,,0.045560,0.031800,0.013000,1.376800,
0.048560,,0.411920,0.340920,0.035880,0.004160,
0.087840,0.123080,0.021280,,0.089360,,
0.115240,0.019040,,,0.030520,,
0.961000,1.159280,,0.003040,0.043120,2.611760,
0.021000,0.007000,none,,0.500640,0.031160,
0.013480,0.036880,,,0.006040,0.052280,
0.160520,0.021640,,0.003400,0.013080,,
0.039600,0.034480,none,0.014720,0.021080,,
0.011560,0.081840,,0.034440,0.071320,0.003360,
0.144520,2.338160,,0.024440,0.053240,0.008680,
0.014840,0.003800,none,0.031880,0.027800,0.016440,
0.048360,0.149760,,0.011200,0.037000,0.045080,
5.508760,1.653800,,,0.066720,0.011720,
3.163680,0.004440,0.003240,,0.083280,,
0.005440,0.122280,3.115120,0.004000,0.519280,,
0.029800,0.018320,7.124720,0.021640,0.039800,0.003280,
0.016640,,0.195200,0.034160,0.018600,1.484920,
,,0.029760,0.091800,0.099600,0.003880,
,0.010800,,,0.017560,0.017280,
0.022200,0.051960,,,0.036400,,
0.013160,,none,0.010160,0.108920,,
0.109920,,,,0.248600,0.014400,
0.134480,0.104520,,,0.325400,,
10.303680,0.011720,none,0.005800,0.140360,,
,,,0.051920,0.012480,,
,,,0.006720,0.038280,,
0.009880,0.104720,none,0.058120,,,
0.016120,0.026200,,0.005280,,,
0.019520,0.019680,,0.080880,0.271160,,
,0.053000,none,,0.073760,,
,0.097360,,,0.339080,,
0.007800,0.005200,,0.080760,0.136920,,
0.017920,,0.003640,,0.018000,,
0.037080,,0.020680,,0.033000,,
0.024000,0.180440,0.011680,0.002920,0.458520,,
1.489760,0.021200,16.622040,0.016400,0.228200,,
0.004920,,0.006520,0.011800,2.058880,,
