,,0.366760,0.039040,0.377880,0.638840,0.032280,0.020160,,,0.060520,1.235520,0.756280,0.058440,0.987760,0.188880,,,,,0.221800,none,2.088160,0.003400,1.216880,0.646280,,,0.002440,0.707840,2.524080,0.156240,0.023680,0.543120,,,0.027800,0.023000,0.407160,0.025120,1.100560,0.371240,,,1.539040,0.410240,1.204520,0.239720,2.645760,0.392440,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.165320,0.656360,0.259120,0.222440,0.912520,none,,,0.340760,none,0.213040,0.136720,0.015200,0.110160,,,,,0.371160,,none,0.336760,0.958840,none,,,0.197400,0.313720,0.443480,0.649240,0.350160,0.183960,,,0.774240,0.100440,0.026640,0.103480,0.817320,none,,,0.578800,none,0.103520,0.112760,0.531640,0.009080,
,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.067560,0.473200,0.238440,0.218120,0.136240,,,,0.322040,,0.003240,0.077000,1.045360,none,,,,,0.040840,,,1.143040,0.410360,,,,0.565840,0.345400,1.476640,0.013720,0.085800,0.031720,,,0.656680,0.373720,0.033360,0.522680,0.317680,,,,none,,0.033120,0.786360,0.041840,none,
,,,,,,,0.349960,,,,none,,,,,,,,,,,0.800520,,,none,,,,,,,,,,,,,,,,0.129160,,,,none,,,,,
,,0.153280,0.240120,0.047680,0.595760,0.143760,,,,0.037360,,0.136840,0.376440,0.060320,,,,,,2.257880,3.056960,,0.381760,0.572360,,,,0.926760,0.925160,0.111880,0.305920,2.195720,none,,,0.104120,0.909600,0.251440,0.253040,0.334560,,,,,,0.972320,0.705880,1.327040,,
,,,,,,,none,,,,,,,,0.053600,,,,,,,1.142080,,,,,,,,,,,,,,,,,,,0.077520,,,6.019480,,,,,none,
,,0.375320,0.195640,0.223120,0.071200,0.276400,,,,0.377040,0.643200,0.591160,0.019400,0.231960,,,,,,none,3.618480,,none,none,0.081200,,,none,none,1.089520,0.012520,0.228320,,,,0.024600,0.073520,0.021080,0.035960,0.033440,,,,,3.493920,0.156640,1.692280,0.361160,,
,,,,,,,,,,,,,,,0.165120,,,,,,,0.023480,,,,,,,,,,,0.463320,,,,,,,,0.085960,,,0.104760,,,,,,
,,0.266360,0.017640,0.188520,0.111080,0.017800,none,,,1.543400,0.579880,0.254720,0.099520,0.815400,,,,,,,none,,,,none,,,,,1.347640,0.041600,none,,,,0.019200,0.063880,0.032880,0.099520,0.038160,,,,,0.009920,0.484680,none,0.621240,none,
,,,,,,,,,,,,,,,0.005880,,,,,0.119040,,none,0.679760,0.560920,,,,1.118040,none,,,,none,,,,,,,,none,,,1.679320,,,,,,
