2083.265240,2083.302000
2076.566600,2076.635880
2082.394440,2082.485120
2073.062480,2073.153920
2041.499280,2041.569200
2036.786920,2036.862480
2019.303440,2019.395920
2017.899680,2018.004640
2016.698680,2016.753680
1993.103440,1993.166080
1988.087280,1988.252560
1960.975760,1961.057240
1898.026240,1898.057360
1875.834160,1875.926200
1867.707640,1867.814080
1864.584400,1864.628520
1861.525000,1861.600960
1825.254400,1825.324440
1806.348360,1806.472360
1792.617800,1792.674080
1789.075040,1789.152480
1780.324200,1780.413320
1776.595440,1776.684960
1769.929400,1770.009600
1761.510640,1761.605640
1745.271800,1745.441720
1703.316120,1703.397560
1700.726320,1700.777320
1690.996720,1691.092160
1680.674720,1680.731000
