-82.89	-47.13	-65.01
155.59	284.13	223.46
-174.41	-147.93	-161.17
-43.78	5.77	-19.15
-140.85	-61.65	-101.25
129.85	338.51	232.52
147.92	301.28	214.65
-24.69	47.66	2.79
71.73	237.79	153.38
94.42	222.95	152.06
-31.03	117.95	42.20
-35.27	70.27	15.41
-82.69	-42.98	-62.84
-137.33	-30.48	-83.90
-104.47	-48.96	-76.72
156.12	255.81	209.22
-127.80	-38.00	-82.90
-9.04	40.60	12.23
-87.48	30.63	-30.69
-151.30	-45.73	-98.51
36.69	81.02	58.85
-159.02	2.44	-78.45
-116.81	-26.81	-71.81
-160.49	-36.67	-98.58
-121.51	-31.70	-76.60
-136.98	-101.48	-119.23
-146.46	-57.02	-101.74
-167.60	-38.57	-103.09
-130.26	-56.18	-93.22
-103.10	9.72	-46.18
-150.24	3.50	-74.02
-157.20	-11.64	-84.42
-74.26	-35.25	-54.75
-92.91	-21.16	-57.04
24.27	243.81	136.01
18.19	245.52	128.89
-30.39	-30.39	149.62
104.45	253.33	172.90
112.33	285.54	196.63
154.54	306.07	232.47
-12.63	290.87	156.52
74.44	315.51	194.37
49.77	299.80	191.67
-87.69	192.86	62.73
68.55	250.21	153.69
85.16	203.89	146.13
103.19	254.57	191.83
56.16	221.80	162.72
75.26	296.88	189.64
71.20	277.83	175.60
-178.78	-39.91	-109.34
39.13	217.45	129.84
168.51	299.63	237.61
143.13	233.47	191.58
117.97	302.70	222.35
124.55	274.62	202.77
85.57	269.46	199.02
127.89	285.00	213.46
102.86	234.25	182.71
152.64	251.45	199.94
65.38	290.50	185.91
95.06	260.24	180.72
17.51	356.40	198.60
-153.45	-88.20	-120.83
-83.63	-22.13	-52.88
-116.70	65.49	-18.05
48.59	318.58	192.74
142.31	379.44	252.57
-128.90	-1.27	-65.08
-54.00	225.56	121.26
146.61	291.24	209.88
-62.32	-32.55	-47.44
-159.13	-4.35	-81.74
114.89	225.00	187.37
-168.14	28.31	-67.50
-29.61	289.47	148.37
-22.32	195.25	73.32
155.61	263.11	211.58
69.15	206.06	134.62
83.43	201.37	142.38
171.79	323.02	248.72
130.57	375.15	241.36
106.74	298.83	216.48
147.22	297.81	225.55
109.53	596.69	342.97
147.92	310.87	217.56
-142.04	-55.56	-98.80
-100.35	-14.11	-57.23
120.91	235.80	185.24
168.22	355.95	264.30
109.54	225.18	160.34
87.07	358.58	218.70
177.22	315.62	245.50
65.96	278.78	180.00
62.26	267.64	182.68
141.39	244.50	195.57
174.47	252.97	213.85
167.39	272.67	216.00
129.38	242.89	189.79
-88.97	78.93	13.49
82.47	247.86	181.02
126.22	223.99	183.12
-151.04	-87.51	-119.27
82.16	329.87	198.04
71.88	931.82	532.85
161.21	573.95	360.31
-0.39	446.08	257.36
70.56	316.94	187.88
90.00	290.14	194.57
105.17	303.97	213.58
103.90	420.33	259.27
49.43	602.35	380.90
-47.48	262.71	97.27
0.60	195.43	101.03
4.38	415.46	194.91
115.18	423.28	292.33
0.00	117.34	41.21
76.79	213.86	173.27
115.70	277.38	179.77
155.00	335.77	242.31
0.00	314.40	146.00
140.87	690.81	367.20
95.09	308.08	200.77
97.83	549.86	263.08
168.61	627.91	438.75
97.83	270.00	162.39
129.60	333.82	222.55
52.36	264.00	150.55
10.00	144.00	78.00
-28.80	248.57	105.21
164.25	278.57	214.29
94.74	334.29	180.00
123.61	288.57	197.14
-132.86	296.00	87.91
-56.47	250.85	128.08
88.89	243.24	148.89
177.50	617.84	445.26
110.77	297.00	216.00
-172.80	34.29	-57.60
-120.00	339.72	130.15
79.62	258.11	148.85
-11.61	223.64	105.88
132.45	426.77	261.18
132.71	445.71	216.00
94.43	288.00	177.05
137.37	351.82	253.64
136.67	305.78	227.71
97.14	306.89	200.66
68.11	405.71	221.54
37.14	256.80	154.29
-180.00	480.00	521.54
83.57	265.50	152.14
71.05	286.36	184.09
-84.71	251.25	112.00
72.00	328.50	220.50
117.82	284.21	189.47
24.44	238.31	126.67
136.71	401.86	234.78
-40.50	246.86	110.00
-45.71	172.80	57.60
128.57	307.64	222.55
38.18	212.73	130.91
-32.53	202.50	42.35
-8.85	267.43	123.16
28.64	304.36	180.00
40.30	180.00	110.15
-33.16	126.00	50.40
-87.43	148.70	39.13
18.00	283.50	189.00
17.50	299.12	155.00
33.16	94.74	63.95
-62.22	49.21	-21.00
-44.79	96.19	15.28
-110.13	12.08	-45.95
-115.86	3.42	-56.33
-158.15	67.66	-4.51
-91.19	32.35	-18.81
-105.75	25.31	-38.12
-142.77	-54.89	-98.83
-86.29	7.22	-38.73
-45.07	33.17	-10.12
-55.55	35.24	-6.68
-171.43	-17.42	-94.42
-59.66	53.44	-3.77
-78.48	79.41	-2.88
-153.83	19.94	-68.88
-105.38	73.62	8.49
-63.97	36.55	-14.35
-110.77	13.05	-44.31
-43.39	19.93	-13.19
-142.72	78.96	-31.88
-123.07	23.01	-39.42
-80.92	36.17	-4.54
-80.75	46.66	-8.37
-130.07	10.62	-60.22
-109.85	7.60	-52.28
-102.11	40.28	-21.13
-113.21	21.65	-34.00
-131.13	26.57	-48.34
-163.60	59.62	-48.35
-141.36	118.47	33.70
-40.91	69.85	-9.82
-179.04	6.73	-86.00
-63.64	51.38	16.51
-31.07	37.72	-7.73
-92.42	-4.26	-48.34
-84.62	41.60	-28.06
-60.92	82.52	-4.29
-52.91	57.00	-4.60
-133.50	34.08	-43.50
-143.12	38.97	-60.06
-90.00	49.15	-14.22
-149.31	62.25	-52.20
-157.96	20.97	-62.91
151.05	394.81	280.74
171.54	402.35	305.64
-139.48	33.12	-44.61
176.92	360.72	267.79
