1720.0	1720.08192
1720.04096	1720.1228800000001
1720.36864	1720.45056
1720.49152	1720.5734400000001
1720.94208	1721.0240000000001
1721.35168	1721.4336
1721.72032	1721.80224
1721.88416	1721.9660800000001
1721.9251199999999	1722.00704
1722.048	1722.12992
1722.1299199999999	1722.21184
1722.41664	1722.49856
1722.53952	1722.6214400000001
1722.74432	1722.82624
1722.99008	1723.0720000000001
1723.0310399999998	1723.11296
1724.5056	1724.58752
1724.6284799999999	1724.7104
1724.79232	1724.87424
1724.9152	1724.99712
1725.20192	1725.28384
1725.3247999999999	1725.40672
1726.0211199999999	1726.10304
1726.10304	1726.18496
1726.26688	1726.3488
1726.30784	1726.38976
1726.51264	1726.59456
1726.71744	1726.79936
1726.7584	1726.84032
1726.79936	1726.88128
1726.84032	1726.92224
1727.08608	1727.1680000000001
1727.3727999999999	1727.45472
1727.45472	1727.53664
1727.61856	1727.70048
1727.70048	1727.7824
1727.9872	1728.06912
1728.56064	1728.64256
1728.64256	1728.72448
1728.8064	1728.88832
1728.84736	1728.92928
1728.88832	1728.97024
1729.1750399999999	1729.25696
1729.78944	1729.87136
1729.91232	1729.99424
