892.169760,892.222320
876.115640,876.174320
873.070440,873.127400
869.700400,869.743320
869.148320,869.192240
867.415440,867.469320
864.783360,864.824760
851.241960,851.290840
851.088080,851.176160
847.158880,847.257560
842.082440,842.141320
842.032320,842.080400
835.657600,835.742360
835.117800,835.208520
826.991160,827.050320
823.768440,823.814000
819.517200,819.557640
816.874160,816.938320
810.652680,810.704200
799.929440,799.971720
798.733240,798.782320
797.180480,797.217840
793.594080,793.676840
792.173960,792.224000
788.543720,788.591960
788.178520,788.270560
786.343240,786.439280
778.658480,778.731280
773.306640,773.363200
772.736600,772.812240
