772.236600,773.059440,772.736600,772.812240
773.059440,773.863200,773.306640,773.363200
778.158480,779.231280,778.658480,778.731280
785.843240,786.939280,786.343240,786.439280
787.678520,788.407140,788.178520,788.270560
788.407140,789.091960,788.543720,788.591960
791.673960,792.724000,792.173960,792.224000
793.094080,794.176840,793.594080,793.676840
796.680480,797.717840,797.180480,797.217840
798.233240,799.282320,798.733240,798.782320
799.429440,800.471720,799.929440,799.971720
810.152680,811.204200,810.652680,810.704200
816.374160,817.438320,816.874160,816.938320
819.017200,820.057640,819.517200,819.557640
823.268440,824.314000,823.768440,823.814000
826.491160,827.550320,826.991160,827.050320
834.617800,835.433060,835.117800,835.208520
835.433060,836.242360,835.657600,835.742360
841.532320,842.081420,842.032320,842.080400
842.081420,842.641320,842.082440,842.141320
846.658880,847.757560,847.158880,847.257560
850.588080,851.209060,851.088080,851.176160
851.209060,851.790840,851.241960,851.290840
864.283360,865.324760,864.783360,864.824760
866.915440,867.969320,867.415440,867.469320
868.648320,869.446320,869.148320,869.192240
869.446320,870.243320,869.700400,869.743320
872.570440,873.627400,873.070440,873.127400
875.615640,876.674320,876.115640,876.174320
891.669760,892.722320,892.169760,892.222320
