1923.9331,1923.7831,1924.0831
1924.3432,1924.1932,1924.4932
1924.5627,1924.4127,1924.7127
1924.8185,1924.6685,1924.9685
1925.101,1924.951,1925.251
1925.3303,1925.1803,1925.4803
1925.5622,1925.4122,1925.7122
1926.6729,1926.5229,1926.8229
1926.8893,1926.7393,1927.0393
1943.3522,1943.2022,1943.5022
1943.8345,1943.6845,1943.9845
1991.1546,1991.0046,1991.3046
1991.5712,1991.4212,1991.7212
1991.76,1991.61,1991.91
1991.9978,1991.8478,1992.1478
1992.2635,1992.1135,1992.4135
1992.9643,1992.8143,1993.1143
1994.9966,1994.8466,1995.1466
1996.8336,1996.6836,1996.9836
2055.4266,2055.2766,2055.5766
2055.658,2055.508,2055.808
2055.7435,2055.5935,2055.8935
2055.9038,2055.7538,2056.0538
2056.2478,2056.0978,2056.3978
2056.4493,2056.2993,2056.5993
2058.715,2058.565,2058.865
2058.9717,2058.8217,2059.1217
2059.2445,2059.0945,2059.3945
2059.4056,2059.2556,2059.5556
2059.6162,2059.4662,2059.7662
2060.7375,2060.5875,2060.8875
2065.9042,2065.7542,2066.0542
2066.0769,2065.9269,2066.2269
2066.2923,2066.1423,2066.4423
2067.8893,2067.7393,2068.0393
2086.376,2086.226,2086.526
