108.538,114.8541,133.21509,146.7334,223.69863,249.26891,346.30553,350.41473,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.975531,66.4121,114.88501,116.28791,168.79286,176.4587,249.65517,254.06509,296.56726,297.08244,329.51803,331.81572,350.47031,352.11695,370.43345,371.50502,396.39326,400.48506,472.25319,472.89201,572.08435,575.56695,666.91635,669.34992,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838.2539,1850.386,1888.0727,1900.0894,1986.0101,1992.9857,2156.6769,2178.342,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533.4056,1538.6331,1582.3156,1585.7283,1602.295,1606.9446,1717.6378,1722.3579,1789.9538,1795.0672,1824.894,1827.0026,1866.8033,1869.1544,1945.6771,1948.0704,1993.5986,1996.2374,2054.4887,2055.2593,2080.4405,2081.6434,2103.4036,2110.1747,2305.0493,2308.7499,2447.7978,2449.8887,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640.2167,1650.1401,1687.1313,1697.0785,2143.3321,2153.2941,2250.1448,2260.118,2336.9982,2346.9628,2935.9426,2945.9142,3004.8277,3014.791,3028.7796,3038.7502,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923.26491,924.19629,1032.7369,1033.9128,1063.2396,1064.0196,1103.1609,1105.0003,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
